"UPS Type","UPS Type"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"UPS Worldwide Saver","UPS Worldwide Saver"
"Use Suggested Address","Use Suggested Address"
"Used only when ""Additional Protection Value"" is set to ""Configuration"". Can contain only numeric amount.","Used only when ""Additional Protection Value"" is set to ""Configuration"". Can contain only numeric amount."
"User ID","User ID"
"USPS","USPS"
"USPS API authentication failed. Check client_id and client_secret.","USPS API authentication failed. Check client_id and client_secret."
"USPS Ground Advantage","USPS Ground Advantage"
"USPS Ground Advantage - Cubic","USPS Ground Advantage - Cubic"
"USPS GXG Envelopes","USPS GXG Envelopes"
